"		瘤痢锅龋",瘤痢疙,老矫,乞闭扁柯(∩),弥绊扁柯(∩),"	弥绊扁柯矫阿",弥历扁柯(∩),弥历扁柯矫阿老背瞒,
"		114",盔林,2013-02-01,8.7,10.5,14:18,5.4,2:32,5.1
"		114",盔林,2013-02-02,0.7,6.7,0:01,-3.5,23:50,10.2
"		114",盔林,2013-02-03,-2.7,-0.3,16:14,-6.7,7:05,6.4
"		114",盔林,2013-02-04,0,3.9,14:09,-3.7,23:49,7.6
"		114",盔林,2013-02-05,-1.3,3.3,15:06,-5.8,3:55,9.1
"		114",盔林,2013-02-06,-0.6,0.8,11:50,-2.6,23:26,3.4
"		114",盔林,2013-02-07,-9,-2.4,0:14,-14.4,23:47,12
"		114",盔林,2013-02-08,-11.7,-5.6,15:32,-17,7:33,11.4
"		114",盔林,2013-02-09,-9.4,-3,15:52,-16.4,7:30,13.4
"		114",盔林,2013-02-10,-4.5,1,15:40,-9,0:08,10
"		114",盔林,2013-02-11,-6.1,-0.1,14:45,-12.5,7:32,12.4
"		114",盔林,2013-02-12,-3.9,0.3,14:39,-6.8,23:05,7.1
"		114",盔林,2013-02-13,-3.5,2.6,14:54,-9.5,7:23,12.1
"		114",盔林,2013-02-14,-0.6,6.6,15:20,-6.5,7:05,13.1
"		114",盔林,2013-02-15,-0.7,4,11:03,-4.7,23:58,8.7
"		114",盔林,2013-02-16,-3.9,2.3,16:29,-9.8,7:14,12.1
"		114",盔林,2013-02-17,1.8,7.4,14:20,-4.4,1:10,11.8
"		114",盔林,2013-02-18,2.8,7.5,14:27,-0.8,24:00:00,8.3
"		114",盔林,2013-02-19,-1.4,3.6,14:10,-4.5,23:59,8.1
"		114",盔林,2013-02-20,-3.9,1.7,16:11,-9.1,7:42,10.8
"		114",盔林,2013-02-21,-2.1,3.1,15:37,-7.5,6:33,10.6
"		114",盔林,2013-02-22,-0.7,5.9,14:29,-5.5,6:22,11.4
"		114",盔林,2013-02-23,-1.2,3.4,14:29,-7.6,6:53,11
"		114",盔林,2013-02-24,0.3,6.5,15:05,-5.7,6:41,12.2
"		114",盔林,2013-02-25,1.3,7.9,14:42,-4.4,6:37,12.3
"		114",盔林,2013-02-26,3.3,8.3,15:19,-2.5,3:51,10.8
"		114",盔林,2013-02-27,4.7,12.5,15:16,-0.5,6:47,13
"		114",盔林,2013-02-28,5.6,15.1,16:36,-3.1,7:09,18.2
"		114",盔林,2014-02-01,2.5,4.5,22:46,-0.2,0:01,4.7
"		114",盔林,2014-02-02,5.5,8,15:32,3.8,5:42,4.2
